LASTREPORTEDDATE,STATION_ID,REGION_ID,RegionName,STATIONNAME,SHORT_NAME,LATITUDE,LONGITUDE,NUM_EBIKES_AVAILABLE,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,CAPACITY,HAS_KIOSK
11/26/2019,236,9,Somerville,Assembly Square T,S32018,42.392233,-71.077466,0,11,4,15,TRUE
11/26/2019,271,10,Boston,Ashmont T Stop,C32062,42.285694,-71.064139,0,11,4,15,TRUE
11/26/2019,282,10,Boston,Stony Brook T Stop,D32041,42.316966,-71.104374,0,11,4,15,TRUE
11/26/2019,328,9,Somerville,Grove St at Community Path,S32019,42.396387,-71.120113,0,11,4,15,TRUE
11/26/2019,206,10,Boston,Government Center - Cambridge St at Court St,B32032,42.359803,-71.059608,0,19,4,23,TRUE
11/26/2019,192,10,Boston,Purchase St at Pearl St,A32026,42.354659,-71.053181,0,13,4,19,TRUE
11/26/2019,173,10,Boston,Savin Hill T Stop - S Sydney St at Bay St,C32033,42.3106,-71.0539,0,10,4,14,TRUE
11/26/2019,68,8,Cambridge,Central Square at Mass Ave / Essex St,M32011,42.36507,-71.1031,0,15,4,19,TRUE
11/26/2019,144,8,Cambridge,Rogers St & Land Blvd,M32035,42.365758,-71.076994,0,15,4,19,TRUE
11/26/2019,110,8,Cambridge,Harvard University Gund Hall at Quincy St / Kirkland S,M32021,42.376369,-71.114025,0,11,4,15,TRUE
11/26/2019,107,8,Cambridge,Ames St at Main St,M32037,42.3625,-71.08822,0,14,4,19,TRUE
11/26/2019,72,8,Cambridge,One Broadway / Kendall Sq at Main St / 3rd St,M32003,42.362242,-71.083111,0,19,4,23,TRUE
11/26/2019,84,8,Cambridge,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,M32019,42.366981,-71.076472,0,11,4,15,TRUE
11/26/2019,3,10,Boston,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,B32006,42.340115,-71.100619,0,11,4,15,TRUE
11/26/2019,388,104,Everett,Main Street at Carter Street,V32002,42.40413,-71.0613,0,12,3,15,TRUE
11/26/2019,47,10,Boston,Cross St at Hanover St,D32010,42.362811,-71.056067,0,15,3,19,TRUE
11/26/2019,63,10,Boston,Dorchester Ave at Gillette Park,C32009,42.344041,-71.057376,0,12,3,15,TRUE
11/26/2019,69,4,Brookline,Coolidge Corner - Beacon St at Centre St,K32001,42.341598,-71.123338,0,16,3,19,TRUE
11/26/2019,81,10,Boston,Chinatown T Stop,D32019,42.352409,-71.062679,0,16,3,19,TRUE
11/26/2019,86,4,Brookline,Brookline Village - Station Street at MBTA,K32003,42.332999,-71.116344,0,12,3,15,TRUE
11/26/2019,9,10,Boston,Commonwealth Ave at Agganis Way,A32002,42.351692,-71.119035,0,12,3,15,TRUE
11/26/2019,330,9,Somerville,30 Dane St,S32023,42.381001,-71.104025,0,12,3,15,TRUE
11/26/2019,102,9,Somerville,Powder House Circle - Nathan Tufts Park,S32008,42.400877,-71.116772,0,9,3,13,TRUE
11/26/2019,279,10,Boston,Williams St at Washington St,D32040,42.306539,-71.107669,0,16,3,19,TRUE
11/26/2019,404,10,Boston,Mass Ave T Station,C32063,42.341356,-71.08337,0,13,3,16,TRUE
11/26/2019,239,9,Somerville,Community Path at Cedar Street,S32022,42.394072,-71.111337,0,11,3,15,TRUE
11/26/2019,398,8,Cambridge,75 Binney St,M32064,42.365507,-71.080138,0,16,3,19,TRUE
